IDENTIFIER,DIRX,DIRY,DIRZ,SURFACEANGLE,LOCX,LOCY,LOCZ,2DLOCX,2DLOCY,2DLOCZ,WAVELENGTH,RGBCOLOR,DISTANCE,CASUALTYINTENSITY,TRACESOURCEINTENSITY,INTENSITYFRACTION,Pol1DirX,Pol1DirY,Pol1DirZ,Pol1Len,Pol2DirX,Pol2DirY,Pol2DirZ,Pol2Len
spiral_188_t_t,0.999153764351215,0.0221745123081282,0.0346416827924552,0.0411425577276812,10,-0.00949949570682414,-0.0148403947916123,0.0648403947916124,0.0405005042931759,0,1.433E-06,#474747,0,0.921083891868299,1,0.921083891868299,1.35023988573099E-18,0.571429571277401,-0.365778190898938,0.678472873346882,0.0279193570697729,-0.365640507777891,-0.571214478609796,0.678791906257525
spiral_187_t_t,0.999126567026271,0.0177169707136853,0.0378445770359422,0.0417985681783182,10,-0.00421706757172235,-0.00900792472725285,0.0590079247272529,0.0457829324282776,0,7.66E-07,#FF0000,0,0.918766999691459,1,0.918766999691459,-2.02204480036274E-18,0.613692423496698,-0.287300626559396,0.677613489150468,0.0283288036914045,-0.287189353057624,-0.613454736214942,0.677943182731995
spiral_186_t_t,0.999162702952838,0.0123228616215405,0.0390133324574442,0.0409246604787054,10,-0.00527354000389171,-0.0166956649939027,0.0666956649939027,0.0447264599961083,0,1.43E-06,#474747,0,0.921074917573862,1,0.921074917573862,6.78741942387194E-19,0.646964796298049,-0.204352131863776,0.678471253220242,0.0277713704793176,-0.20427602459606,-0.646723845922312,0.678786915112258
spiral_185_t_t,0.999161497941485,0.00707562436373225,0.040326623602679,0.0409541027413513,10,-0.00277714222845399,-0.0158279698837621,0.0658279698837621,0.047222857771546,0,1.287E-06,#595959,0,0.920649381346519,1,0.920649381346519,0,0.668108150941321,-0.117224847708164,0.67831420910551,0.0277849304694593,-0.117181151462686,-0.667859109732563,0.678630396513512
spiral_184_t_t,0.999159681195594,0.00168308086941156,0.0409523956796867,0.0409984516797261,10,-0.000594571721309439,-0.0144670032400342,0.0644670032400342,0.0494054282786906,0,1.13E-06,#6D6D6D,0,0.920174716050391,1,0.920174716050391,8.5160813095468E-20,0.677566909555653,-0.0278469643666072,0.678138901958319,0.0278078477716937,-0.0278365683552146,-0.677313955832647,0.678455853907354
spiral_183_t_t,0.999146084226499,-0.00379174177601772,0.0411427401756193,0.0413288598892767,10,0.000921038650725392,-0.00999383822447335,0.0599938382244734,0.0509210386507254,0,7.76E-07,#FF0000,0,0.918820015399643,1,0.918820015399643,2.5553841921256E-19,0.674777155951394,0.0621879029156038,0.677636735620858,0.028011298659287,0.062164353538393,-0.674521630663779,0.67795904738911
spiral_182_t_t,0.999133481410661,-0.00929568197776886,0.0405694049842973,0.0416327698015539,10,0.00130745060498518,-0.00570614326280312,0.0557061432628031,0.0513074506049852,0,5.96E-07,#FFC000,0,0.917533897950696,1,0.917533897950696,-5.11271488796065E-19,0.660054669759873,0.151238557735907,0.677159706729404,0.0281975127610297,0.151180540949769,-0.659801465476601,0.677486995840395
spiral_181_t_t,0.999195935582258,-0.0140845217954899,0.0375380948063277,0.04010416921261,10,0.00699827685523844,-0.0186518210477682,0.0686518210477682,0.0569982768552384,0,1.69E-06,#262626,0,0.921880224422888,1,0.921880224422888,-6.89130771467346E-19,0.635513009363708,0.238448351677978,0.67877419035233,0.0272265266866088,0.238362977971326,-0.635285471195156,0.679077184813646
spiral_180_t_t,0.999186836531061,-0.0190831738108661,0.0355175756542396,0.040330477275802,10,0.00781219442814591,-0.0145400450353447,0.0645400450353447,0.0578121944281459,0,1.352E-06,#515151,0,0.920842455896016,1,0.920842455896016,6.89703377260711E-19,0.597595369331914,0.321080932227658,0.678390146219068,0.0273647437151622,0.320964833455075,-0.597379286463338,0.678696740384751
spiral_179_t_t,0.999208449658384,-0.0233554627802092,0.0322024298712217,0.0397908227858547,10,0.012162711248277,-0.0167699034569527,0.0667699034569527,0.062162711248277,0,1.774E-06,#1C1C1C,0,0.922155997181799,1,0.922155997181799,-6.93345153619521E-19,0.549556235884028,0.398576761572009,0.678878112229472,0.0270178546128718,0.398436224393293,-0.5493624637167,0.679176343755837
spiral_178_t_t,0.999177276883463,-0.0280077487049827,0.0293314740888729,0.040566881899276,10,0.00816183038519385,-0.00854758156332993,0.0585475815633299,0.0581618303851938,0,9.07E-07,#898989,0,0.919409421913934,1,0.919409421913934,1.38346282753741E-18,0.490254307349288,0.468129198013378,0.677860038582581,0.0275037163417173,0.467958266271729,-0.490075296890292,0.678170472673911
spiral_177_t_t,0.999209547083534,-0.0310782144748125,0.0247876098520466,0.0397632260862066,10,0.0145816471113106,-0.0116301462520739,0.0616301462520739,0.0645816471113106,0,1.585E-06,#343434,0,0.921547466007945,1,0.921547466007945,0,0.423171123286486,0.53056357621987,0.678654188813982,0.0269902122221521,0.530376912184465,-0.423022242298269,0.678952102885896
spiral_176_t_t,0.999134445805068,-0.0357282728507939,0.0213037490808289,0.0416095923501088,10,-0.000783944316567631,0.000467443614843699,0.0495325563851563,0.0492160556834324,0,4.54E-07,#0047FF,0,0.915416626198632,1,0.915416626198632,6.90590798766627E-19,0.346399482468439,0.580942592688698,0.676377777173577,0.0281492970026281,0.580720610117288,-0.346267120598573,0.6767050529916
spiral_175_t_t,0.999183716703376,-0.0371812407851829,0.0157941637480834,0.0404077807822598,10,0.00909297875108566,-0.00386259286456414,0.0538625928645641,0.0590929787510857,0,7.77E-07,#FF0000,0,0.918825296448411,1,0.918825296448411,0,0.264943076552609,0.62370584988174,0.677645793161785,0.0273871577955289,0.623480069347158,-0.264847167576496,0.677953888888135
spiral_174_t_t,0.999207357770708,-0.0384148195827095,0.0104382859372319,0.0398182612640961,10,0.0140597010491287,-0.00382037925303331,0.0538203792530333,0.0640597010491287,0,1.174E-06,#676767,0,0.920310213915487,1,0.920310213915487,-7.00841585088904E-19,0.177835342168968,0.65446689484557,0.678197851200633,0.0270094237564193,0.654236382752209,-0.177772706155872,0.678496785948416
spiral_173_t_t,0.99921862064231,-0.0391978814863661,0.00506697628368829,0.0395343176961067,10,0.0160789165679835,-0.0020784666371756,0.0520784666371756,0.0660789165679835,0,1.351E-06,#515151,0,0.920839536588556,1,0.920839536588556,0,0.0869701947203089,0.672797186058937,0.67839506803817,0.0268245441338682,0.672563418999856,-0.0869399764508679,0.678689670062867
spiral_172_t_t,0.999214589851613,-0.0396243240438811,-0.000341133021983343,0.0396361698816271,10,0.0140095632380378,0.000120610881305278,0.0498793891186947,0.0640095632380378,0,1.124E-06,#6D6D6D,0,0.920156111847815,1,0.920156111847815,6.60672711678444E-20,-0.00583803515040523,0.678117278808971,0.678142408697245,0.0268836686581346,0.677880664173175,0.00583599809191395,0.678438637884159
spiral_171_t_t,0.999209487250859,-0.0393303076451441,-0.0057902926017036,0.0397647311781736,10,0.011414982285505,0.001680538277826,0.048319461722174,0.061414982285505,0,9E-07,#898989,0,0.919381777128235,1,0.919381777128235,3.52882942227408E-19,-0.0987311774293054,0.670627177168804,0.677855925808704,0.0269595133254924,0.670391899369898,0.0986965393250059,0.678154201472098
spiral_170_t_t,0.999194936151286,-0.0385097070846734,-0.0112464229815599,0.0401290890305381,10,0.00644493713065466,0.00188218749370215,0.0481178125062979,0.0564449371306547,0,6.3E-07,#FF3A00,0,0.917848909028884,1,0.917848909028884,0,-0.189864954549163,0.65013060573318,0.677287609126985,0.0271838371888825,0.649898795229696,0.189797256320038,0.677591620042586
spiral_169_t_t,0.999231809693336,-0.035742904444731,-0.0160697006455038,0.0391992010005649,10,0.0134769715682782,0.00605912983498804,0.043940870165012,0.0634769715682782,0,1.215E-06,#626262,0,0.920434376261195,1,0.920434376261195,0,-0.278118878754319,0.618603714336938,0.678248233400586,0.0265913331882502,0.618392518678538,0.278023927013244,0.678537920937496
spiral_168_t_t,0.999253492153147,-0.0327047503472145,-0.020563504673752,0.0386419653832755,10,0.0161893633376349,0.0101792566866935,0.0398207433133065,0.0661893633376349,0,1.676E-06,#282828,0,0.921835221456662,1,0.921835221456662,-3.57669066563146E-19,-0.361299760950308,0.57462084746044,0.678768469803145,0.026233287849187,0.57442984662804,0.36117966688238,0.679049766849057
